feature_type,hidden_layers,hidden_size,epochs,train_accuracy,validation_accuracy,test_accuracy,train_loss,validation_loss,test_loss,state_accuracy,phoneme_accuracy,state_per,phoneme_per,model_path,posterior_plot_path
lmfcc,[256],256,5,0.592130339811758,0.5728860101321502,0.5612607350030845,1.3596752197265434,1.4155266471635979,1.4618849552112052,0.5612607350030845,0.6634660847903162,1.0693332302164265,1.9896715980396646,C:\Users\Elias\DT2119\lab3\lab3_results\models\lmfcc_hidden256_ep5.pt,C:\Users\Elias\DT2119\lab3\lab3_results\plots\lmfcc_posterior.png
mspec,[256],256,5,0.5924880987740645,0.5715511597307416,0.5625148164980805,1.3591989090862269,1.421245152138999,1.4582575295417313,0.5625148164980805,0.6663036488205085,1.0504003712208645,1.887670040763981,C:\Users\Elias\DT2119\lab3\lab3_results\models\mspec_hidden256_ep5.pt,C:\Users\Elias\DT2119\lab3\lab3_results\plots\mspec_posterior.png
dlmfcc,[256],256,5,0.7456696721876108,0.7201200094075171,0.7106162746379535,0.8212342496411495,0.9066481474695854,0.9455732196506169,0.7106162746379535,0.8054674023944771,0.5354741989601056,0.8512954396250324,C:\Users\Elias\DT2119\lab3\lab3_results\models\dlmfcc_hidden256_ep5.pt,C:\Users\Elias\DT2119\lab3\lab3_results\plots\dlmfcc_posterior.png
dmspec,[256],256,5,0.7432135050675113,0.7191093369607363,0.7112194125266696,0.8263783462328431,0.9057347274609502,0.9399520990636377,0.7112194125266696,0.8062336036211849,0.5151641343533975,0.8337150185499015,C:\Users\Elias\DT2119\lab3\lab3_results\models\dmspec_hidden256_ep5.pt,C:\Users\Elias\DT2119\lab3\lab3_results\plots\dmspec_posterior.png
